Unsorted, Run Time, Comparisons, Swaps 
,34.3782,704971076,-1796077866
,34.4343,704971076,-1796077866
,34.437,704971076,-1796077866
,34.4398,704971076,-1796077866
,34.4373,704971076,-1796077866
,34.4843,704971076,-1796077866
,34.4711,704971076,-1796077866
,34.4546,704971076,-1796077866
,34.4557,704971076,-1796077866
Average,34.6857,-103533053,-52718657
Sorted, Run Time, Comparisons, Swaps 
,33.815,704879419,-1815606443
,0.000272412,99999,0
,0.000277151,99999,0
,0.000271961,99999,0
,0.000272011,99999,0
,0.00027183,99999,0
,0.000276009,99999,0
,0.00027166,99999,0
,0.00027187,99999,0
,0.00027196,99999,0
,0,0,0
Average,3.38178,70588939,-181560644
