Unsorted, Run Time, Comparisons, Swaps 
,0.0010352,10894,6381
,0.000791206,10894,6381
,0.000724688,10894,6381
,0.000915212,10894,6381
,0.000607394,10894,6381
,0.000581994,10894,6381
,0.000888421,10894,6381
,0.000579249,10894,6381
,0.000633653,10894,6381
Average,0.000752076,10894,6381
Sorted, Run Time, Comparisons, Swaps 
0.0380145,499500,500499
,0.0440747,499500,500499
,0.0376304,499500,500499
,0.0523393,499500,500499
,0.038729,499500,500499
,0.037005,499500,500499
,0.0377886,499500,500499
,0.0469448,499500,500499
,0.0630072,499500,500499
,0.0510069,499500,500499
,0,0,0
Average,0.044654,499500,500499
