Unsorted, Run Time, Comparisons, Swaps 
,10.4912,704982704,99999
,10.4886,704982704,99999
,10.4878,704982704,99999
,10.5776,704982704,99999
,10.6736,704982704,99999
,10.5366,704982704,99999
,10.4883,704982704,99999
,10.4824,704982704,99999
,10.4837,704982704,99999
Average,45.3105,-207049308,-52607660
Sorted, Run Time, Comparisons, Swaps 
10.481,704982704,99999
,16.5094,704982704,99999
,16.5204,704982704,99999
,16.506,704982704,99999
,16.4986,704982704,99999
,16.5204,704982704,99999
,16.5452,704982704,99999
,16.5156,704982704,99999
,16.5116,704982704,99999
,16.5156,704982704,99999
,0,0,0
Average,19.4105,-32927316,-181449647
